trackId,trackName,artistName,trackViewUrl,sellerUrl,averageUserRating,userRatingCount,currentVersionReleaseDate
6443569233,Club Jamón del Medio,Pablo Castedo,https://apps.apple.com/ar/app/club-jam%C3%B3n-del-medio/id6443569233?uo=4,http://fullconnection.com.ar/,5,2,2026-03-04T21:31:31Z
6755053195,CdS Club,Cuponeala SRL,https://apps.apple.com/ar/app/cds-club/id6755053195?uo=4,https://www.instagram.com/centraldesabores/,4.75,4,2025-12-22T20:01:58Z
6448931157,Club de Benefícios do Bairro,CCU,https://apps.apple.com/ar/app/club-de-benef%C3%ADcios-do-bairro/id6448931157?uo=4,https://clubcombourbano.com/,0,0,2024-03-03T14:26:43Z
6566192515,Club de Beneficios del Grupo R,Corporacion de Servicios GR S.A.,https://apps.apple.com/ar/app/club-de-beneficios-del-grupo-r/id6566192515?uo=4,,0,0,2025-02-04T13:39:43Z
1569454354,Puntos Trotters,Mobile Ads and Rewards Corporation,https://apps.apple.com/ar/app/puntos-trotters/id1569454354?uo=4,https://marc.global/,0,0,2025-04-28T15:11:37Z
6636486327,TimeWise: recompensa tu rutina,Maciej Opalko,https://apps.apple.com/ar/app/timewise-recompensa-tu-rutina/id6636486327?uo=4,,0,0,2025-04-23T22:26:48Z
6760023125,Tarjetas Lealtad y Descuento,SEVELINA LLP,https://apps.apple.com/ar/app/tarjetas-lealtad-y-descuento/id6760023125?uo=4,https://sevelina.com,0,0,2026-03-05T04:26:12Z
6756197906,Tokimaki Recompensas,Yair Israel Madrigal Bayardo,https://apps.apple.com/ar/app/tokimaki-recompensas/id6756197906?uo=4,,0,0,2026-01-28T10:49:32Z
6473737412,MultiPuntos CUSCATLAN,UpperClub Inc,https://apps.apple.com/ar/app/multipuntos-cuscatlan/id6473737412?uo=4,https://www.multipuntoscuscatlan.com,0,0,2025-08-29T19:43:58Z
6758816028,WallyCash,ROGELIO VAZQUEZ,https://apps.apple.com/ar/app/wallycash/id6758816028?uo=4,https://wallycash.mx,0,0,2026-02-12T12:05:45Z
6755490169,iQR Py,Catatrepa S.A.,https://apps.apple.com/ar/app/iqr-py/id6755490169?uo=4,https://app.iqr.com.py,0,0,2026-02-27T21:35:15Z
